id | species | address | source | latitude | longitude
1 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,Fopin Xian,,核桃坪                                                                                                                                                                                                                              " | "brahms    " | 34.265472 | 108.954239
2 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,Fopin Xian,,核桃坪                                                                                                                                                                                                                              " | "brahms    " | 34.265472 | 108.954239
3 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,鄠县,,石义沟                                                                                                                                                                                                                                    " | "brahms    " | 34.265472 | 108.954239
4 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guizhou,Songtao Xian,,木耳溪至孟溪                                                                                                                                                                                                                      " | "brahms    " | 28.154071 | 109.202886
5 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guizhou,Anlong Xian,,龙山公社                                                                                                                                                                                                                           " | "brahms    " | 25.099014 | 105.442701
6 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,,,六巷乡村前                                                                                                                                                                                                                                    " | "brahms    " | 23.895651 | 110.066619
7 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,,,                                                                                                                                                                                                                                              " | "brahms    " | 22.815478 | 108.327546
8 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Longsheng Xian,,二区平水乡桃善村红滩                                                                                                                                                                                                            " | "brahms    " | 25.797931 | 110.011238
9 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,,,                                                                                                                                                                                                                                              " | "brahms    " | 22.815478 | 108.327546
10 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Hunan,Ningyuan Xian,,华白里                                                                                                                                                                                                                             " | "brahms    " | 25.570976 | 111.945805
11 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,凌乐县,,甘田公社山洲大队                                                                                                                                                                                                                        " | "brahms    " | 22.815478 | 108.327546
12 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,龙津县,,大青山敢门附近                                                                                                                                                                                                                          " | "brahms    " | 22.815478 | 108.327546
13 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,凌云县,,玉洪老山之东南                                                                                                                                                                                                                          " | "brahms    " | 24.50995 | 106.534251
14 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Hunan,道县,,驷马桥公社楠竹坪大队                                                                                                                                                                                                                        " | "brahms    " | 25.526438 | 111.600796
15 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Xing'an Xian,,两金区佑安乡                                                                                                                                                                                                                      " | "brahms    " | 25.611705 | 110.67167
16 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,和平县,,青州乡羊角区                                                                                                                                                                                                                          " | "brahms    " | 24.350454 | 114.81295
17 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,河源县,,蒲田区蒲田乡                                                                                                                                                                                                                          " | "brahms    " | 23.743538 | 114.700447
17 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,河源县,,蒲田区蒲田乡                                                                                                                                                                                                                          " | "brahms    " | 23.759908 | 114.681772
18 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Hunan,Xinning Xian,,紫云山                                                                                                                                                                                                                              " | "brahms    " | 26.622299 | 111.279272
19 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Hunan,洞口县,,那漆                                                                                                                                                                                                                                      " | "brahms    " | 27.060321 | 110.575846
20 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,平远县,,泗水乡育新社埧坳仔                                                                                                                                                                                                                    " | "brahms    " | 24.74306 | 116.023189
21 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guizhou,,,She-Won-San, Hsufeng                                                                                                                                                                                                                          " | "brahms    " | 26.598194 | 106.70741
22 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Hunan,Ningyuan Xian,,九凝林场牛头江丰冲                                                                                                                                                                                                                 " | "brahms    " | 25.570976 | 111.945805
23 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Hunan,江永县,,大田马家坪                                                                                                                                                                                                                                " | "brahms    " | 25.273539 | 111.343911
24 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Damiaoshan,,三防公社罗洞大队                                                                                                                                                                                                                    " | "brahms    " | 22.815478 | 108.327546
25 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,凌乐县,,同乐公社第八大队                                                                                                                                                                                                                        " | "brahms    " | 22.815478 | 108.327546
26 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Damiaoshan,,三防区池洞乡九万山文德下水汫                                                                                                                                                                                                        " | "brahms    " | 22.815478 | 108.327546
27 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,Lechang Xian,,坪石                                                                                                                                                                                                                            " | "brahms    " | 25.280956 | 113.05849
27 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,Lechang Xian,,坪石                                                                                                                                                                                                                            " | "brahms    " | 25.280548 | 113.063144
27 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,Lechang Xian,,坪石                                                                                                                                                                                                                            " | "brahms    " | 25.347022 | 113.360639
27 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,Lechang Xian,,坪石                                                                                                                                                                                                                            " | "brahms    " | 25.2668652 | 113.0578225
27 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,Lechang Xian,,坪石                                                                                                                                                                                                                            " | "brahms    " | 24.95214 | 113.536929
28 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Guilin Shiqu,雁山,雁山广西植物所标本园                                                                                                                                                                                                          " | "brahms    " | 25.273566 | 110.290195
29 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,龙州县,,那曵呌咩山                                                                                                                                                                                                                              " | "brahms    " | 22.342771 | 106.854376
30 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Lingui Xian,雁山,雁山附近                                                                                                                                                                                                                       " | "brahms    " | 25.238628 | 110.212463
31 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Lingui Xian,雁山,雁山分所标本园                                                                                                                                                                                                                 " | "brahms    " | 25.238628 | 110.212463
32 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Lingui Xian,雁山,雁山附近                                                                                                                                                                                                                       " | "brahms    " | 25.238628 | 110.212463
33 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,Longsheng Xian,,六区大地乡天平村红毛冲                                                                                                                                                                                                          " | "brahms    " | 25.797931 | 110.011238
34 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,蕉岭县,,南砂乡南砂社书声里林区                                                                                                                                                                                                                " | "brahms    " | 24.6587 | 116.171355
35 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Hunan,城步县,,丁坪公社隘上老山                                                                                                                                                                                                                          " | "brahms    " | 26.390598 | 110.32224
36 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Yunnan,屏边县,,Ping-pien Hsien                                                                                                                                                                                                                          " | "brahms    " | 22.98356 | 103.687612
37 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,Baoxing Xian,,                                                                                                                                                                                                                                  " | "brahms    " | 30.368126 | 102.814531
38 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Fujian,南平市,,                                                                                                                                                                                                                                         " | "brahms    " | 26.641769 | 118.177708
39 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Jiangxi,大余县,,内良公社附近                                                                                                                                                                                                                            " | "brahms    " | 25.389253 | 114.08557
40 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Sichuan,峨眉县,峨眉山,四川峨眉县峨眉山万年寺附近                                                                                                                                                                                                        " | "brahms    " | 29.591243 | 103.522654
41 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Zhejiang,建德,,                                                                                                                                                                                                                                         " | "brahms    " | 29.474765 | 119.281212
42 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Zhejiang,寿昌县,,                                                                                                                                                                                                                                       " | "brahms    " | 29.358966 | 119.222105
43 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,南郑县,,小坝东沟                                                                                                                                                                                                                                " | "brahms    " | 32.739359 | 106.963049
44 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Henan,新县,,                                                                                                                                                                                                                                            " | "brahms    " | 31.643895 | 114.879519
44 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Henan,新县,,                                                                                                                                                                                                                                            " | "brahms    " | 31.642503 | 114.888965
45 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Shaanxi,Mei Xian,,太白山蒿苹寺至烟家村药厂                                                                                                                                                                                                              " | "brahms    " | 34.274094 | 107.749955
46 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,,,,                                                                                                                                                                                                                                                     " | "brahms    " | 35.86166 | 104.195397
47 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Yunnan,,,                                                                                                                                                                                                                                               " | "brahms    " | 25.045806 | 102.710002
48 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,隆林县,,德峨达毛村                                                                                                                                                                                                                              " | "brahms    " | 24.636535 | 105.166719
49 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,Ruyuan Xian,,管埠沙冲                                                                                                                                                                                                                         " | "brahms    " | 24.776078 | 113.275883
50 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,翁源县,,龙仙一园乡细水山黄竹岔山腰                                                                                                                                                                                                            " | "brahms    " | 24.350347 | 114.130342
51 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,武呜县,,小陆大明山                                                                                                                                                                                                                              " | "brahms    " | 22.815478 | 108.327546
52 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangxi,,,岑五老山林场                                                                                                                                                                                                                                  " | "brahms    " | 22.815478 | 108.327546
53 | "Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  " | "China,Guangdong,茂名市,,大坡区格苍乡大岺岗                                                                                                                                                                                                                    " | "brahms    " | 22.081373 | 111.246142
